assetCode,name,category,location,status,installDate,model,manufacturer,serialNumber,description
BC02050060,2线外壳铆压机,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02140046,2线激光剥线机,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02000260,2线注塑机,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02120099,2线屏蔽打散机,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC05000919,2线精益工作台,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02001138,2线吸烟机,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC05000903,2线低压注塑机,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02001075,2线UV light curing machine-UV光固化机,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02000074,2线冷却水循环机,MECHANICAL,HPC-Production,ACTIVE,,,,,
HPC020001,2线工装夹具,MECHANICAL,HPC-Production,ACTIVE,,,,,
HPC020002,2线芯子,MECHANICAL,HPC-Production,ACTIVE,,,,,
HPC020003,2线PCB工装,MECHANICAL,HPC-Production,ACTIVE,,,,,
HPC020004,2线拉拔刀（拉拔岗位）,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02020005,3线低压注塑机,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02060005,3线自动焊接机1,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02060013,3线自动焊接机2,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02050052,3线安全气动压接机,MECHANICAL,HPC-Production,ACTIVE,,,,,
HPC030001,3线手动曲杆压接机,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC05000995,3线激光剥线机,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02120063,3线拉拔绝缘切割机,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02001116,3线合并裁切机,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC05000943,3线自动螺丝机,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02001136,3线吸烟机,MECHANICAL,HPC-Production,ACTIVE,,,,,
